City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Esperance,0,AU,1578195352,22,-33.86,121.89,80.6,12.75
Gravdal,100,NO,1578195353,86,59.79,5.78,37.99,13.87
Bandarbeyla,27,SO,1578195354,78,9.49,50.81,77.27,15.75
Twentynine Palms,1,US,1578195113,61,34.14,-116.05,59.0,10.29
Bambous Virieux,75,MU,1578195357,100,-20.34,57.76,75.0,2.24
Tiksi,93,RU,1578195358,86,71.64,128.87,-17.09,11.07
Sao Felix do Xingu,77,BR,1578195359,95,-6.64,-51.99,70.83,0.83
Mahebourg,75,MU,1578195360,100,-20.41,57.7,75.0,2.24
Saldanha,0,PT,1578195361,89,41.42,-6.55,34.77,1.97
Cape Town,20,ZA,1578195067,93,-33.93,18.42,64.99,6.93
Dikson,100,RU,1578195363,90,73.51,80.55,4.46,24.76
Butaritari,62,KI,1578195365,78,3.07,172.79,84.16,11.83
Mareeba,38,AU,1578195366,58,-16.99,145.42,90.0,11.41
Bonthe,0,SL,1578195367,72,7.53,-12.5,75.34,2.57
Pinehurst,20,US,1578195368,49,35.19,-79.47,51.01,14.99
Castro,66,CL,1578195369,71,-42.48,-73.76,53.6,5.82
Namibe,100,AO,1578195371,87,-15.19,12.15,75.29,9.53
Lorengau,92,PG,1578195374,75,-2.02,147.27,84.7,14.99
Arraial do Cabo,100,BR,1578195375,89,-22.97,-42.02,75.34,7.05
Kirovskiy,2,RU,1578195376,85,45.09,133.51,9.61,6.51
Margate,10,AU,1578195377,30,-43.03,147.26,69.01,10.29
Lavrentiya,100,RU,1578195378,85,65.58,-170.99,-7.4,11.01
Churapcha,100,RU,1578195380,97,62.0,132.43,-13.16,5.53
Pisco,90,PE,1578195381,83,-13.71,-76.2,70.0,16.11
East London,90,ZA,1578195314,100,-33.02,27.91,73.4,9.17
Half Moon Bay,1,US,1578195383,87,37.46,-122.43,53.01,5.82
Mahtomedi,1,US,1578195384,86,45.07,-92.95,27.0,9.17
Humberto de Campos,100,BR,1578195385,93,-2.6,-43.46,75.29,3.18
Mar del Plata,74,AR,1578195386,65,-46.43,-67.52,59.45,8.93
Ambon,90,FR,1578195357,79,47.55,-2.56,33.01,2.35
Cachoeira do Sul,0,BR,1578195388,82,-30.05,-52.89,67.82,7.47
Jamestown,100,AU,1578195390,70,-33.21,138.6,53.37,10.47
Ponta do Sol,100,BR,1578195391,90,-20.63,-46.0,67.75,1.99
Hithadhoo,30,MV,1578195392,65,-0.6,73.08,84.06,6.2
Cherskiy,78,RU,1578195393,55,68.75,161.3,-2.72,7.74
Karratha,33,AU,1578195394,67,-20.74,116.85,84.49,20.22
Padang,60,ID,1578195395,64,-0.92,100.36,80.89,3.42
Bilma,0,NE,1578195396,41,18.69,12.92,47.03,4.05
Samarai,100,PG,1578195397,81,-10.62,150.67,83.03,5.37
Saskylakh,0,RU,1578195399,94,71.97,114.09,-20.18,7.49
Grindavik,20,IS,1578195400,86,63.84,-22.43,39.2,24.16
Chauk,100,MM,1578195401,71,20.89,94.82,71.31,2.35
Kintampo,0,GH,1578195403,19,8.05,-1.73,68.95,5.23
Trincomalee,1,LK,1578195404,75,8.58,81.23,80.94,5.75
Rio Gallegos,100,AR,1578195112,58,-51.62,-69.22,53.6,18.34
Albany,90,US,1578195284,80,42.65,-73.75,37.0,4.7
Port Macquarie,90,AU,1578195214,57,-31.43,152.91,89.01,20.8
Saint-Pierre,100,FR,1578195408,100,48.95,4.24,41.0,3.36
Constitucion,5,MX,1578195410,52,23.99,-104.67,41.0,1.28
Chernoyerkovskaya,20,RU,1578195411,86,45.43,37.76,37.4,8.95
Clyde River,90,CA,1578195412,65,70.47,-68.59,-34.6,10.29
Barsovo,90,RU,1578195413,100,61.17,73.17,26.6,11.18
Sarab,23,IR,1578195414,86,38.61,44.99,28.26,1.25
Bambui,0,CM,1578195415,54,6.01,10.23,60.37,2.91
Baruun-Urt,100,MN,1578195416,74,46.68,113.28,15.76,2.01
Misratah,98,LY,1578195417,71,32.38,15.09,59.47,20.2
Saedinenie,75,BG,1578195418,56,42.27,24.54,48.2,16.11
Faanui,100,PF,1578195420,78,-16.48,-151.75,81.45,11.39
Tibati,1,CM,1578195421,30,6.47,12.63,59.38,2.86
Puerto Ayora,68,EC,1578195318,83,-0.74,-90.35,75.0,3.0
Khorramshahr,0,IR,1578195423,87,30.43,48.18,53.6,4.7
Iqaluit,5,CA,1578195424,60,63.75,-68.52,-25.01,18.34
Marzuq,0,YE,1578195425,78,14.4,46.47,56.01,3.51
Lebu,20,ET,1578195426,76,8.96,38.73,51.8,4.7
Hobart,10,AU,1578195221,30,-42.88,147.33,69.01,10.29
Uvinza,64,TZ,1578195428,96,-5.1,30.39,62.91,1.45
Xining,77,CN,1578195430,79,36.62,101.77,23.85,4.03
Kahului,1,US,1578195431,69,20.89,-156.47,78.8,14.99
Hasaki,20,JP,1578195432,49,35.73,140.83,52.0,10.29
Ribeira Grande,100,PT,1578195434,90,38.52,-28.7,60.58,17.92
Mukhtolovo,100,RU,1578195435,93,55.47,43.2,29.75,7.0
Miyako,20,JP,1578195436,53,33.63,130.94,55.99,5.82
Aklavik,75,CA,1578195437,74,68.22,-135.01,-25.6,3.36
Port Elizabeth,90,US,1578195438,81,39.31,-74.98,48.0,10.29
Sao Pedro do Sul,10,BR,1578195439,69,-29.62,-54.18,75.2,12.75
Longyearbyen,40,NO,1578195440,60,78.22,15.63,6.8,2.24
Port Alfred,100,ZA,1578195441,99,-33.59,26.89,70.0,3.0
Farah,100,AF,1578195442,92,32.37,62.11,47.84,6.02
Dunedin,79,NZ,1578195444,61,-45.87,170.5,57.85,22.66
Batagay-Alyta,0,RU,1578195445,77,67.8,130.41,-22.43,3.67
San Quintin,0,PH,1578195446,53,17.54,120.52,82.9,8.9
Manokwari,82,ID,1578195447,86,-0.87,134.08,78.75,4.97
Voi,65,KE,1578195448,90,-3.4,38.57,68.41,2.39
Barrow,74,AR,1578195449,89,-38.31,-60.23,63.7,10.25
Luwingu,100,ZM,1578195450,98,-10.26,29.92,62.62,1.92
Norman Wells,75,CA,1578195451,74,65.28,-126.83,-22.0,2.24
Hamilton,75,CA,1578195452,86,43.26,-79.87,34.0,8.05
Thinadhoo,93,MV,1578195369,71,0.53,72.93,83.61,8.99
Arenapolis,100,BR,1578195455,95,-14.45,-56.85,71.33,5.84
Costa Rica,5,MX,1578195396,82,24.59,-107.39,64.0,7.18
Tasiilaq,100,GL,1578195457,86,65.61,-37.64,28.4,8.05
Baker City,1,US,1578195458,68,44.77,-117.83,30.2,6.93
Mogadishu,33,SO,1578195459,84,2.04,45.34,80.65,16.06
Talcahuano,0,CL,1578195460,71,-36.72,-73.12,57.2,20.8
Lhokseumawe,31,ID,1578195461,76,5.18,97.15,77.59,4.12
Elko,1,US,1578195463,80,40.83,-115.76,30.2,5.66
Azangaro,100,PE,1578195465,97,-14.91,-70.2,39.79,8.43
Santa Lucia,0,IT,1578195466,93,41.98,12.66,46.99,3.36
Dharan,0,NP,1578195467,76,26.81,87.28,48.4,2.35
Ballina,99,IE,1578195468,89,54.11,-9.15,50.0,8.99
Biltine,0,TD,1578195469,25,14.53,20.93,59.52,14.67
Qaanaaq,0,GL,1578195470,54,77.48,-69.36,-40.47,5.82
Sundsvall,0,SE,1578195471,79,62.39,17.31,30.99,4.7
Eureka,75,US,1578195472,87,40.8,-124.16,48.0,1.79
Sorong,88,ID,1578195473,66,-0.86,131.25,85.08,4.65
Haikou,40,CN,1578195475,73,20.04,110.34,75.2,11.18
Pombas,11,BR,1578195476,90,-15.9,-54.74,71.49,6.15
Kyren,79,RU,1578195477,64,51.68,102.13,11.03,3.56
Villa del Rosario,0,AR,1578195478,82,-31.55,-63.53,77.0,9.17
Coihaique,75,CL,1578195479,62,-45.58,-72.07,51.8,4.7
Flinders,90,AU,1578195480,88,-34.58,150.85,73.0,12.75
Isangel,40,VU,1578195336,55,-19.55,169.27,87.8,17.22
Mucurapo,20,TT,1578195482,88,10.67,-61.53,75.0,6.31
Flagstaff,1,US,1578195483,63,35.2,-111.65,46.4,3.36
Tuatapere,8,NZ,1578195485,65,-46.13,167.69,57.99,23.0
San Cristobal,19,HN,1578195486,96,14.68,-86.92,63.21,3.87
Kaura Namoda,23,NG,1578195487,28,12.59,6.58,59.56,15.01
Souillac,0,FR,1578195488,94,45.6,-0.6,35.01,7.2
Ixtapa,5,MX,1578195489,88,20.71,-105.21,66.0,7.2
Hilo,75,US,1578195491,74,19.71,-155.08,78.8,3.36
Mpanda,71,BI,1578195492,92,-3.17,29.4,56.34,1.92
Sao Filipe,0,CV,1578195494,78,14.9,-24.5,69.87,14.54
Dutlwe,44,BW,1578195495,46,-23.98,23.93,77.54,9.75
Khandyga,0,RU,1578195496,94,62.65,135.58,-23.06,2.3
Derzhavinsk,50,KZ,1578195497,96,51.1,66.31,15.3,8.3
Vallenar,0,CL,1578195498,94,-28.58,-70.76,56.86,1.72
Mayo,40,CA,1578195499,63,63.59,-135.9,-11.2,8.05
Ngunguru,100,NZ,1578195501,62,-35.62,174.5,69.01,4.0
Corovode,100,AL,1578195502,87,40.5,20.23,36.97,3.18
Havre-Saint-Pierre,90,CA,1578195503,78,50.23,-63.6,15.8,10.29
Ahuimanu,40,US,1578195504,83,21.44,-157.84,82.4,13.87
Seydi,15,NE,1578195505,31,13.34,7.75,55.65,11.3
Menongue,100,AO,1578195506,98,-14.66,17.68,62.26,4.5
Rundu,100,NA,1578195507,90,-17.91,19.77,67.77,4.54
Touros,40,BR,1578195508,78,-5.2,-35.46,78.8,4.7
Teknaf,98,BD,1578195509,91,20.86,92.31,68.7,2.04
Maracaibo,75,CO,1578195511,69,3.41,-75.78,75.2,9.17
Itarema,100,BR,1578195512,91,-2.92,-39.92,76.26,2.75
Sangar,100,RU,1578195513,93,63.92,127.47,-11.25,9.93
Lagoa,0,PT,1578195514,87,37.14,-8.45,50.0,8.05
Khagaul,75,IN,1578195515,100,25.63,85.04,55.4,6.93
Iracoubo,48,GF,1578195516,80,5.48,-53.21,79.59,14.34
Kudahuvadhoo,70,MV,1578195517,74,2.67,72.89,82.74,9.19
Carauari,100,BR,1578195375,97,-4.88,-66.9,73.98,1.66
Indramayu,77,ID,1578195520,71,-4.05,103.78,82.44,8.08
Cabra,0,ES,1578195521,93,37.47,-4.43,42.8,2.24
Airai,99,TL,1578195522,62,-8.93,125.41,81.28,4.74
Udachnyy,62,RU,1578195524,83,66.42,112.4,-11.2,2.24
Cidreira,0,BR,1578195525,82,-30.17,-50.22,72.93,17.9
Husavik,100,CA,1578195526,90,50.56,-96.99,24.01,8.01
Ranong,75,TH,1578195527,70,9.96,98.62,84.2,4.7
Endicott,90,US,1578195528,86,42.1,-76.05,34.0,16.11
Tuktoyaktuk,40,CA,1578195529,67,69.44,-133.03,-23.8,13.87
Moose Factory,90,CA,1578195531,84,51.26,-80.61,5.0,4.7
Nikolskoye,75,RU,1578195532,76,59.7,30.79,32.0,17.9
Bridgeton,1,US,1578195320,81,38.77,-90.41,33.01,4.83
San Patricio,0,PY,1578195534,63,-26.98,-56.83,74.43,5.73
Kichera,100,RU,1578195535,95,55.93,110.1,13.42,1.48
Pacific Grove,75,US,1578195536,81,36.62,-121.92,55.0,4.7
Lloydminster,5,CA,1578195499,73,53.28,-110.01,26.6,18.34
Marsa Matruh,20,EG,1578195539,81,31.35,27.25,50.0,8.05
Codrington,0,AU,1578195540,17,-28.95,153.24,100.4,5.82
Quatre Cocos,75,MU,1578195541,100,-20.21,57.76,75.0,2.24
Belmonte,0,PT,1578195542,26,40.36,-7.35,39.99,7.0
Atar,4,MR,1578195543,24,20.52,-13.05,53.33,10.54
Chernyshevskiy,100,RU,1578195544,97,63.01,112.47,-7.37,4.0
Kodiak,1,US,1578195545,55,39.95,-94.76,36.0,6.93
Morlaix,90,FR,1578195546,75,48.58,-3.83,46.4,4.7
Cassilandia,0,BR,1578195336,91,-19.11,-51.73,70.83,4.14
Warmbad,86,DE,1578195549,74,50.67,13.08,36.0,5.82
Mount Gambier,67,AU,1578195550,42,-37.83,140.78,64.4,16.11
Spokane,1,US,1578195365,60,47.66,-117.42,39.2,8.05
Ostrovnoy,100,RU,1578195552,93,68.05,39.51,20.43,22.26
Porto Velho,75,BR,1578195553,94,-8.75,-63.87,77.0,2.24
Port Hardy,75,CA,1578195554,93,50.7,-127.42,39.2,5.82
Saint-Francois,90,FR,1578195556,84,46.42,3.91,39.0,2.24
Kawalu,61,ID,1578195557,57,-7.38,108.21,85.24,2.21
Banda Aceh,8,ID,1578195558,65,5.56,95.32,82.58,7.81
Kaitangata,54,NZ,1578195559,67,-46.28,169.85,53.98,32.64
Acapulco,5,MX,1578195560,83,16.86,-99.88,78.8,5.82
Puerto Quijarro,39,BO,1578195561,54,-19.0,-57.72,78.15,1.3
Guisa,75,CU,1578195562,88,20.25,-76.54,75.2,1.12
Pevek,0,RU,1578195563,66,69.7,170.27,-6.29,3.38
Port Hedland,64,AU,1578195565,36,-20.31,118.58,95.0,21.92
Bethel,1,US,1578195566,76,60.79,-161.76,-9.4,6.93
Pemba,100,MZ,1578195567,86,-12.97,40.52,79.02,0.98
Avera,1,US,1578195568,56,33.19,-82.53,50.0,14.99
Santa Cruz de la Palma,75,ES,1578195569,63,28.68,-17.76,64.4,8.05
Nokaneng,100,BW,1578195570,82,-19.66,22.19,71.06,5.37
Petatlan,40,MX,1578195571,69,17.52,-101.27,75.2,2.24
Sitka,0,US,1578195572,66,37.17,-99.65,39.99,3.0
Shizunai,91,JP,1578195382,59,42.33,142.37,22.95,8.05
Cabo San Lucas,40,MX,1578195379,82,22.89,-109.91,69.01,8.05
Adrar,0,DZ,1578195315,41,27.87,-0.29,39.2,10.29
Labuhan,100,ID,1578195577,91,-2.54,115.51,77.13,1.01
Yellowknife,90,CA,1578195312,84,62.45,-114.38,1.4,12.75
Shibetsu,40,JP,1578195579,79,44.15,142.46,19.4,4.7
Kremenchuk,100,UA,1578195580,96,49.08,33.43,33.44,5.44
Galle,0,GN,1578195581,47,10.08,-12.83,64.81,1.45
Necochea,49,AR,1578195584,76,-38.55,-58.74,69.57,10.36
Youkounkoun,94,GN,1578195585,13,12.53,-13.12,65.3,5.91
Kendari,100,ID,1578195586,76,-3.99,122.52,82.62,7.0
Valparaiso,90,US,1578195397,63,41.47,-87.06,32.0,8.05
Ancud,32,CL,1578195588,71,-41.87,-73.83,53.6,5.82
Coquimbo,90,CL,1578195417,93,-29.95,-71.34,60.8,4.7
Lata,0,IN,1578195591,44,30.78,78.62,3.85,8.72
San Felipe,0,CL,1578195592,62,-32.75,-70.73,56.21,1.92
Baie-Comeau,1,CA,1578195593,100,49.22,-68.15,27.0,4.7
Rio Grande,0,BR,1578195594,83,-32.03,-52.1,66.99,13.4
Najran,20,SA,1578195595,28,17.54,44.22,69.8,5.82
Pitimbu,20,BR,1578195596,78,-7.47,-34.81,78.8,3.0
Lujan,74,AR,1578195597,65,-46.57,-67.67,59.45,8.93
Henties Bay,86,NA,1578195599,91,-22.12,14.28,62.01,1.01
Haines Junction,61,CA,1578195600,97,60.75,-137.51,-15.48,3.51
Dahegam,0,IN,1578195601,76,23.17,72.82,57.2,4.7
Lima,90,PE,1578195484,88,-12.06,-77.04,71.6,13.87
Huarmey,100,PE,1578195603,78,-10.07,-78.15,69.37,1.68
Zhangye,100,CN,1578195604,41,38.94,100.46,26.19,5.32
Arlit,0,NE,1578195605,33,18.74,7.39,52.47,9.86
Omboue,91,GA,1578195606,94,-1.57,9.26,74.62,1.59
Lompoc,20,US,1578195607,93,34.64,-120.46,54.0,6.93
Tura,100,RU,1578195608,95,64.27,100.22,5.23,5.79
Lufilufi,75,WS,1578195610,70,-13.87,-171.6,87.8,16.11
Laguna,90,BZ,1578195611,83,16.17,-88.94,71.6,11.41
Meulaboh,0,ID,1578195612,76,4.14,96.13,80.33,5.26
Pangnirtung,100,CA,1578195615,99,66.15,-65.72,-32.96,7.92
Xichang,92,CN,1578195616,86,27.88,102.25,38.71,9.89
Tatarsk,100,RU,1578195617,92,55.22,75.96,21.78,13.44
Killybegs,93,IE,1578195618,89,54.63,-8.45,46.99,8.99
Taranagar,3,IN,1578195620,45,28.67,75.04,55.69,6.06
Teya,5,MX,1578195621,73,21.05,-89.07,71.01,4.7
Paramonga,100,PE,1578195622,91,-10.68,-77.82,69.35,9.06
Pinawa,100,CA,1578195623,87,50.15,-95.88,23.16,12.08
General Roca,0,AR,1578195624,14,-39.03,-67.58,80.6,9.17
Khatanga,0,RU,1578195625,86,71.98,102.47,-19.98,9.57
Jizan,40,SA,1578195626,78,16.89,42.56,78.8,8.68
Mandalgovi,0,MN,1578195627,86,45.76,106.27,8.62,8.72
Sawakin,100,SD,1578195628,69,19.1,37.33,72.57,20.11
Port Hawkesbury,90,CA,1578195630,87,45.62,-61.36,33.01,4.7
Buchanan,0,LR,1578195631,79,5.88,-10.05,69.8,4.43
Machico,75,PT,1578195632,77,32.7,-16.77,62.6,6.93
Palana,0,RU,1578195633,75,59.08,159.95,10.99,5.57
Ylivieska,0,FI,1578195634,71,64.07,24.53,30.0,5.99
Calhoun,90,US,1578195635,60,34.5,-84.95,41.0,16.11
Caravelas,100,BR,1578195636,89,-17.73,-39.27,76.08,10.96
Nanortalik,97,GL,1578195637,79,60.14,-45.24,30.78,17.34
Fukue,40,JP,1578195639,49,35.03,136.69,48.2,20.8
Pasni,2,PK,1578195640,83,25.26,63.48,66.51,1.45
Kupang,75,ID,1578195641,88,-10.16,123.6,80.6,17.22
Totma,99,RU,1578195642,89,59.98,42.76,28.78,7.27
Burns Lake,0,CA,1578195644,89,54.23,-125.76,18.81,4.7
Road Town,1,VG,1578195645,69,18.42,-64.62,77.0,8.05
Ayorou,0,NE,1578195647,25,14.73,0.92,56.25,9.66
Wanxian,100,CN,1578195648,81,30.8,108.39,45.7,2.84
Hay River,90,CA,1578195649,84,60.82,-115.79,1.4,21.92
Westport,90,US,1578195457,75,41.14,-73.36,46.0,8.05
Yarmouth,90,CA,1578195651,100,43.84,-66.12,37.4,8.05
Matay,0,EG,1578195652,81,28.42,30.79,34.92,2.1
Zhigansk,100,RU,1578195653,94,66.77,123.37,-17.54,11.03
Macherla,100,IN,1578195428,82,16.48,79.44,70.52,4.59
Knysna,90,ZA,1578195655,93,-34.04,23.05,64.4,2.24
Tavda,100,RU,1578195657,91,58.04,65.27,23.27,8.28
Bad Salzungen,75,DE,1578195658,86,50.81,10.23,36.0,10.29
Flin Flon,100,CA,1578195659,95,54.77,-101.88,9.7,5.01
Sibu,75,MY,1578195660,83,2.29,111.83,82.4,2.15
Cockburn Town,0,TC,1578195661,75,21.46,-71.14,77.18,12.77
Pyinmana,0,MM,1578195662,58,19.74,96.21,77.83,3.33
Cayenne,98,GF,1578195663,83,4.94,-52.33,78.8,9.17
Bernardino de Campos,0,BR,1578195664,93,-23.01,-49.48,65.48,10.6
Ola,100,RU,1578195666,68,59.58,151.3,17.49,9.15
Choma,100,ZM,1578195667,95,-16.81,26.98,64.63,4.85
Chama,100,ZM,1578195668,96,-11.22,33.16,68.23,1.92
Sorgun,5,TR,1578195669,94,39.81,35.19,25.27,1.95
Rincon,100,PA,1578195670,66,8.46,-82.28,66.0,5.01
Taybad,96,IR,1578195671,88,34.74,60.78,46.71,18.75
Berlevag,100,NO,1578195672,65,70.86,29.09,28.83,33.55
Jiexiu,100,CN,1578195675,79,37.02,111.92,32.09,5.86
Lakes Entrance,100,AU,1578195676,81,-37.88,147.99,60.01,7.61
Humen,20,CN,1578195677,60,22.82,113.67,75.99,13.42
Ohara,75,JP,1578195678,57,35.12,135.83,48.2,4.7
Katsuura,75,JP,1578195679,49,33.93,134.5,50.0,14.99
Puerto Escondido,75,MX,1578195680,78,15.86,-97.07,78.8,3.36
Tilichiki,58,RU,1578195682,64,60.47,166.1,-3.77,5.7
Bajil,0,ES,1578195683,90,38.23,-2.07,34.16,1.21
Ilulissat,99,GL,1578195684,61,69.22,-51.1,12.2,5.82
Thompson,90,CA,1578195543,91,55.74,-97.86,3.2,6.93
Yumen,100,CN,1578195686,74,40.29,97.04,17.33,10.54
Port Lincoln,99,AU,1578195687,68,-34.72,135.86,61.39,16.06
Narsaq,98,GL,1578195688,73,60.91,-46.05,24.8,3.36
Nuuk,100,GL,1578195689,79,64.17,-51.74,21.2,1.12
Broome,0,GB,1578195690,81,52.47,1.45,44.6,6.93
Gat,3,SN,1578195692,32,14.69,-16.54,68.0,10.29
Wencheng,100,CN,1578195693,89,27.79,120.09,54.73,4.45
Colac,100,AU,1578195694,72,-38.34,143.59,64.0,5.99
Kisangani,100,CD,1578195695,93,0.52,25.21,69.58,1.3
Luganville,99,VU,1578195696,72,-15.51,167.18,80.46,7.54
Suez,0,EG,1578195697,57,29.97,32.54,47.19,8.46
Luderitz,0,NA,1578195698,85,-26.65,15.16,61.65,13.44
Rodrigues Alves,100,BR,1578195699,84,-7.74,-72.65,74.93,2.48
Bull Savanna,53,JM,1578195700,94,17.89,-77.59,69.62,4.29
Yaan,32,NG,1578195702,26,7.38,8.57,69.24,6.08
Neuquen,3,AR,1578195704,14,-38.95,-68.06,80.6,9.17
Vanimo,100,PG,1578195705,78,-2.67,141.3,81.79,9.6
Sajanan,40,TN,1578195706,87,37.06,9.24,57.2,17.22
Kulhudhuffushi,63,MV,1578195707,81,6.62,73.07,81.95,12.08
Hobyo,50,SO,1578195708,84,5.35,48.53,77.09,13.02
Prince Rupert,90,CA,1578195513,93,54.32,-130.32,37.4,14.99
Luwuk,100,ID,1578195710,92,-0.95,122.79,76.53,3.36
Hidrolandia,99,BR,1578195711,85,-4.41,-40.44,76.46,1.57
Altay,3,CN,1578195713,61,47.83,88.13,9.9,4.14
Hulan Ergi,100,CN,1578195714,76,47.2,123.63,17.24,3.85
Rabaul,100,PG,1578195715,76,-4.2,152.17,83.21,7.14
Nicoya,2,CR,1578195716,61,10.15,-85.45,82.4,11.41
Coahuayana,6,MX,1578195717,43,18.62,-100.35,72.07,3.29
Natal,40,BR,1578195593,78,-5.81,-35.21,78.8,4.7
Banamba,69,ML,1578195719,19,13.55,-7.45,57.58,9.57
Humaita,40,AR,1578195720,94,-24.93,-65.37,69.8,2.24
Nemuro,40,JP,1578195722,45,43.32,145.57,26.6,12.75
Usinsk,100,RU,1578195723,88,66.0,57.56,23.41,21.41
Zwedru,0,LR,1578195724,51,6.07,-8.13,65.91,1.79
Surt,0,LY,1578195725,69,31.21,16.59,49.42,10.67
Antigonish,90,CA,1578195726,89,45.62,-61.99,35.01,4.7
Sorland,100,NO,1578195727,61,67.67,12.69,33.4,13.49
Ugoofaaru,42,MV,1578195728,80,5.67,73.0,81.82,10.36
Shache,59,CN,1578195729,74,38.42,77.24,19.8,1.54
Mapiri,86,BO,1578195730,97,-15.31,-68.22,66.4,1.16
Mukhen,100,RU,1578195731,82,48.19,136.14,3.15,6.06
Umm Lajj,0,SA,1578195734,59,25.02,37.27,53.01,9.4
Ahipara,75,NZ,1578195735,67,-35.17,173.16,72.0,1.99
Gurjaani,53,GE,1578195736,86,41.75,45.79,30.2,9.17
Jacareacanga,71,BR,1578195737,92,-6.22,-57.76,72.84,1.54
Muscat,16,OM,1578195738,57,23.6,58.55,75.2,25.28
Ishigaki,20,JP,1578195739,69,24.34,124.16,77.0,10.29
Tweed,90,CA,1578195740,94,44.48,-77.31,33.01,10.29
Jalu,0,LY,1578195741,84,29.03,21.55,48.31,8.46
Victoria,75,BN,1578195462,62,5.28,115.24,87.8,3.36
Anage,100,BR,1578195744,96,-14.61,-41.14,70.02,2.21
Bow Island,90,CA,1578195745,85,49.87,-111.38,32.0,21.92
Fort Saint James,69,CA,1578195746,86,54.43,-124.25,21.65,7.72
Marfino,75,RU,1578195747,90,56.07,37.56,35.01,13.42
Pangkalanbuun,95,ID,1578195457,70,-2.68,111.62,87.35,1.97
Yatou,3,CM,1578195749,89,3.63,9.81,74.73,0.87
Evensk,19,RU,1578195750,47,61.92,159.24,7.09,4.29
Burnie,85,AU,1578195751,32,-41.05,145.91,70.0,8.01
Ikom,0,NG,1578195752,32,5.96,8.72,66.45,0.45
Liyang,90,CN,1578195754,81,31.42,119.48,51.8,11.18
Tongliao,0,CN,1578195755,77,43.61,122.27,21.85,6.98
Araceli,9,PH,1578195756,77,10.55,119.99,81.25,27.13
Naze,33,NG,1578195757,29,5.43,7.07,70.48,3.44
